Birthday,Old Star Sign,New Star Sign,Date Range
Jan 20,Aquarius,Capricorn,20 Jan - 16 Feb
Jan 21,Aquarius,Capricorn,20 Jan - 16 Feb
Jan 22,Aquarius,Capricorn,20 Jan - 16 Feb
Jan 23,Aquarius,Capricorn,20 Jan - 16 Feb
Jan 24,Aquarius,Capricorn,20 Jan - 16 Feb
Jan 25,Aquarius,Capricorn,20 Jan - 16 Feb
Jan 26,Aquarius,Capricorn,20 Jan - 16 Feb
Jan 27,Aquarius,Capricorn,20 Jan - 16 Feb
Jan 28,Aquarius,Capricorn,20 Jan - 16 Feb
Jan 29,Aquarius,Capricorn,20 Jan - 16 Feb
Jan 30,Aquarius,Capricorn,20 Jan - 16 Feb
Jan 31,Aquarius,Capricorn,20 Jan - 16 Feb
Feb 1,Aquarius,Capricorn,20 Jan - 16 Feb
Feb 2,Aquarius,Capricorn,20 Jan - 16 Feb
Feb 3,Aquarius,Capricorn,20 Jan - 16 Feb
Feb 4,Aquarius,Capricorn,20 Jan - 16 Feb
Feb 5,Aquarius,Capricorn,20 Jan - 16 Feb
Feb 6,Aquarius,Capricorn,20 Jan - 16 Feb
Feb 7,Aquarius,Capricorn,20 Jan - 16 Feb
Feb 8,Aquarius,Capricorn,20 Jan - 16 Feb
Feb 9,Aquarius,Capricorn,20 Jan - 16 Feb
Feb 10,Aquarius,Capricorn,20 Jan - 16 Feb
Feb 11,Aquarius,Capricorn,20 Jan - 16 Feb
Feb 12,Aquarius,Capricorn,20 Jan - 16 Feb
Feb 13,Aquarius,Capricorn,20 Jan - 16 Feb
Feb 14,Aquarius,Capricorn,20 Jan - 16 Feb
Feb 15,Aquarius,Capricorn,20 Jan - 16 Feb
Feb 20,Pisces,Aquarius,16 Feb - 11 Mar
Feb 21,Pisces,Aquarius,16 Feb - 11 Mar
Feb 22,Pisces,Aquarius,16 Feb - 11 Mar
Feb 23,Pisces,Aquarius,16 Feb - 11 Mar
Feb 24,Pisces,Aquarius,16 Feb - 11 Mar
Feb 25,Pisces,Aquarius,16 Feb - 11 Mar
Feb 26,Pisces,Aquarius,16 Feb - 11 Mar
Feb 27,Pisces,Aquarius,16 Feb - 11 Mar
Feb 28,Pisces,Aquarius,16 Feb - 11 Mar
Feb 29,Pisces,Aquarius,16 Feb - 11 Mar
Mar 1,Pisces,Aquarius,16 Feb - 11 Mar
Mar 2,Pisces,Aquarius,16 Feb - 11 Mar
Mar 3,Pisces,Aquarius,16 Feb - 11 Mar
Mar 4,Pisces,Aquarius,16 Feb - 11 Mar
Mar 5,Pisces,Aquarius,16 Feb - 11 Mar
Mar 6,Pisces,Aquarius,16 Feb - 11 Mar
Mar 7,Pisces,Aquarius,16 Feb - 11 Mar
Mar 8,Pisces,Aquarius,16 Feb - 11 Mar
Mar 9,Pisces,Aquarius,16 Feb - 11 Mar
Mar 10,Pisces,Aquarius,16 Feb - 11 Mar
Mar 21,Aries,Pisces,11 Mar - 18 Apr
Mar 22,Aries,Pisces,11 Mar - 18 Apr
Mar 23,Aries,Pisces,11 Mar - 18 Apr
Mar 24,Aries,Pisces,11 Mar - 18 Apr
Mar 25,Aries,Pisces,11 Mar - 18 Apr
Mar 26,Aries,Pisces,11 Mar - 18 Apr
Mar 27,Aries,Pisces,11 Mar - 18 Apr
Mar 28,Aries,Pisces,11 Mar - 18 Apr
Mar 29,Aries,Pisces,11 Mar - 18 Apr
Mar 30,Aries,Pisces,11 Mar - 18 Apr
Mar 31,Aries,Pisces,11 Mar - 18 Apr
Apr 1,Aries,Pisces,11 Mar - 18 Apr
Apr 2,Aries,Pisces,11 Mar - 18 Apr
Apr 3,Aries,Pisces,11 Mar - 18 Apr
Apr 4,Aries,Pisces,11 Mar - 18 Apr
Apr 5,Aries,Pisces,11 Mar - 18 Apr
Apr 6,Aries,Pisces,11 Mar - 18 Apr
Apr 7,Aries,Pisces,11 Mar - 18 Apr
Apr 8,Aries,Pisces,11 Mar - 18 Apr
Apr 9,Aries,Pisces,11 Mar - 18 Apr
Apr 10,Aries,Pisces,11 Mar - 18 Apr
Apr 11,Aries,Pisces,11 Mar - 18 Apr
Apr 12,Aries,Pisces,11 Mar - 18 Apr
Apr 13,Aries,Pisces,11 Mar - 18 Apr
Apr 14,Aries,Pisces,11 Mar - 18 Apr
Apr 15,Aries,Pisces,11 Mar - 18 Apr
Apr 16,Aries,Pisces,11 Mar - 18 Apr
Apr 17,Aries,Pisces,11 Mar - 18 Apr
Apr 21,Taurus,Aries,18 Apr - 13 May
Apr 22,Taurus,Aries,18 Apr - 13 May
Apr 23,Taurus,Aries,18 Apr - 13 May
Apr 24,Taurus,Aries,18 Apr - 13 May
Apr 25,Taurus,Aries,18 Apr - 13 May
Apr 26,Taurus,Aries,18 Apr - 13 May
Apr 27,Taurus,Aries,18 Apr - 13 May
Apr 28,Taurus,Aries,18 Apr - 13 May
Apr 29,Taurus,Aries,18 Apr - 13 May
Apr 30,Taurus,Aries,18 Apr - 13 May
May 1,Taurus,Aries,18 Apr - 13 May
May 2,Taurus,Aries,18 Apr - 13 May
May 3,Taurus,Aries,18 Apr - 13 May
May 4,Taurus,Aries,18 Apr - 13 May
May 5,Taurus,Aries,18 Apr - 13 May
May 6,Taurus,Aries,18 Apr - 13 May
May 7,Taurus,Aries,18 Apr - 13 May
May 8,Taurus,Aries,18 Apr - 13 May
May 9,Taurus,Aries,18 Apr - 13 May
May 10,Taurus,Aries,18 Apr - 13 May
May 11,Taurus,Aries,18 Apr - 13 May
May 12,Taurus,Aries,18 Apr - 13 May
May 22,Gemini,Taurus,13 May - 21 Jun
May 23,Gemini,Taurus,13 May - 21 Jun
May 24,Gemini,Taurus,13 May - 21 Jun
May 25,Gemini,Taurus,13 May - 21 Jun
May 26,Gemini,Taurus,13 May - 21 Jun
May 27,Gemini,Taurus,13 May - 21 Jun
May 28,Gemini,Taurus,13 May - 21 Jun
May 29,Gemini,Taurus,13 May - 21 Jun
May 30,Gemini,Taurus,13 May - 21 Jun
May 31,Gemini,Taurus,13 May - 21 Jun
Jun 1,Gemini,Taurus,13 May - 21 Jun
Jun 2,Gemini,Taurus,13 May - 21 Jun
Jun 3,Gemini,Taurus,13 May - 21 Jun
Jun 4,Gemini,Taurus,13 May - 21 Jun
Jun 5,Gemini,Taurus,13 May - 21 Jun
Jun 6,Gemini,Taurus,13 May - 21 Jun
Jun 7,Gemini,Taurus,13 May - 21 Jun
Jun 8,Gemini,Taurus,13 May - 21 Jun
Jun 9,Gemini,Taurus,13 May - 21 Jun
Jun 10,Gemini,Taurus,13 May - 21 Jun
Jun 11,Gemini,Taurus,13 May - 21 Jun
Jun 12,Gemini,Taurus,13 May - 21 Jun
Jun 13,Gemini,Taurus,13 May - 21 Jun
Jun 14,Gemini,Taurus,13 May - 21 Jun
Jun 15,Gemini,Taurus,13 May - 21 Jun
Jun 16,Gemini,Taurus,13 May - 21 Jun
Jun 17,Gemini,Taurus,13 May - 21 Jun
Jun 18,Gemini,Taurus,13 May - 21 Jun
Jun 19,Gemini,Taurus,13 May - 21 Jun
Jun 20,Gemini,Taurus,13 May - 21 Jun
Jun 22,Cancer,Gemini,21 Jun - 20 Jul
Jun 23,Cancer,Gemini,21 Jun - 20 Jul
Jun 24,Cancer,Gemini,21 Jun - 20 Jul
Jun 25,Cancer,Gemini,21 Jun - 20 Jul
Jun 26,Cancer,Gemini,21 Jun - 20 Jul
Jun 27,Cancer,Gemini,21 Jun - 20 Jul
Jun 28,Cancer,Gemini,21 Jun - 20 Jul
Jun 29,Cancer,Gemini,21 Jun - 20 Jul
Jun 30,Cancer,Gemini,21 Jun - 20 Jul
Jul 1,Cancer,Gemini,21 Jun - 20 Jul
Jul 2,Cancer,Gemini,21 Jun - 20 Jul
Jul 3,Cancer,Gemini,21 Jun - 20 Jul
Jul 4,Cancer,Gemini,21 Jun - 20 Jul
Jul 5,Cancer,Gemini,21 Jun - 20 Jul
Jul 6,Cancer,Gemini,21 Jun - 20 Jul
Jul 7,Cancer,Gemini,21 Jun - 20 Jul
Jul 8,Cancer,Gemini,21 Jun - 20 Jul
Jul 9,Cancer,Gemini,21 Jun - 20 Jul
Jul 10,Cancer,Gemini,21 Jun - 20 Jul
Jul 11,Cancer,Gemini,21 Jun - 20 Jul
Jul 12,Cancer,Gemini,21 Jun - 20 Jul
Jul 13,Cancer,Gemini,21 Jun - 20 Jul
Jul 14,Cancer,Gemini,21 Jun - 20 Jul
Jul 15,Cancer,Gemini,21 Jun - 20 Jul
Jul 16,Cancer,Gemini,21 Jun - 20 Jul
Jul 17,Cancer,Gemini,21 Jun - 20 Jul
Jul 18,Cancer,Gemini,21 Jun - 20 Jul
Jul 19,Cancer,Gemini,21 Jun - 20 Jul
Jul 24,Leo,Cancer,20 Jul - 10 Aug
Jul 25,Leo,Cancer,20 Jul - 10 Aug
Jul 26,Leo,Cancer,20 Jul - 10 Aug
Jul 27,Leo,Cancer,20 Jul - 10 Aug
Jul 28,Leo,Cancer,20 Jul - 10 Aug
Jul 29,Leo,Cancer,20 Jul - 10 Aug
Jul 30,Leo,Cancer,20 Jul - 10 Aug
Jul 31,Leo,Cancer,20 Jul - 10 Aug
Aug 1,Leo,Cancer,20 Jul - 10 Aug
Aug 2,Leo,Cancer,20 Jul - 10 Aug
Aug 3,Leo,Cancer,20 Jul - 10 Aug
Aug 4,Leo,Cancer,20 Jul - 10 Aug
Aug 5,Leo,Cancer,20 Jul - 10 Aug
Aug 6,Leo,Cancer,20 Jul - 10 Aug
Aug 7,Leo,Cancer,20 Jul - 10 Aug
Aug 8,Leo,Cancer,20 Jul - 10 Aug
Aug 9,Leo,Cancer,20 Jul - 10 Aug
Aug 24,Virgo,Leo,10 Aug - 16 Sep
